Date,Time,Type,Owner/operator,Total airframe hrs,Fatalities,Location,Phase,Nature,Departure airport,Destination airport,Narrative
Tuesday 17 April 2012,21:00,Airbus A300B4-605R,Onur Air,,1,"Amman-Queen Alia International Airport (AMM/OJAI) - 
	   Jordan",Standing,Ferry/positioning,Amman-Queen Alia International Airport (AMM/OJAI),Istanbul-Atatürk International Airport (IST/LTBA),An Onur Air Captain fell onto the apron while trying to close the front door of his plane due to depart from Amman for İstanbul on Tuesday evening.
Friday 24 December 1999,,Airbus A300B2-101,Indian Airlines,,1,"Kandahar Airport (KDH) - 
	   Afghanistan",En route,Passenger - Scheduled,Kathmandu-Tribhuvan Airport (KTM/VNKT),Delhi-Indira Gandhi International Airport (DEL/VIDP),"On December 24, 1999, Indian Airlines flight 814 was hijacked while en route to Delhi (DEL) from Kathmandu (KTM). About 30 minutes after takeoff a passenger armed with a pistol stood up and announced that the plane was being hijacked. Four other men wearing red masks then stood up and took positions throughout the aircraft. The hijackers demanded to be flown to Lahore, Pakistan. Authorities, however, refused to allow the plane to land. With the plane low on fuel, the crew was forced to fly to Amritsar-Raja Sansi Airport (ATQ), India. The hijackers demanded that the aircraft be refueled and threatened to harm passengers if this was not done. One passenger was killed about this time, apparently for failing to follow the hijackers instructions. Indian authorities refused to provide the fuel that had been demanded. The plane departed and was flown to Lahore Airport (LHE) in Pakistan, but authorities closed the airport to keep the plane from landing. The pilot told the control tower, however, that the plane would crash if not given permission to land and he made an emergency landing. The hijackers demanded food, water, and fuel, all of which were provided. The aircraft departed Lahore and was flown to Kabul Airport (KBL), Afghanistan, but was unable to land because there were no night landing facilities. The plane then flew on to Muscat, Oman, but authorities refused permission to land. The plane was then taken to Dubai, United Arab Emirates, where permission to land at Dubai Airport was also refused. The pilot, however, was directed to al-Minhar Air Base, located in a remote area of Dubai, and landed there on December 25. Twenty-seven passengers were subsequently released in exchange for food and fuel. The aircraft then was flown to Kandahar Airport (KDH), Afghanistan, arriving on December 26, and stayed there for the remainder of the hijacking. In Kandahar the hijackers issued their demands. They demanded that India release Maulana Masood Azhar, a Pakistani leader of the Kashmiri separatist group Harakut-ul-Mujahidin, who was imprisoned in India. The hijackers also demanded the release of 35 other jailed guerrillas, USD 200 million, and the release of the body of a slain Kashmiri separatist. On December 26, a United Nations official arrived to mediate between the hijackers and Indian authorities following a request by the ruling Taliban forces. On December 27 the hijackers announced a deadline and threatened to kill passengers if their demands were not met. Negotiations between the hijackers and Indian diplomats continued through December 29. The hijackers eventually dropped their demands for the ransom and for the release of the prisoners. In return, India agreed to exchange three prisoners for the safe return of the aircraft and passengers. On the afternoon of December 31, the passengers and crew were released and flown to Delhi. Meanwhile, the Taliban had given the hijackers ten hours to leave Afghanistan. The five hijackers departed with a Taliban hostage to ensure their safe passage and were reported to have left Afghanistan."
Monday 25 October 1993,,Airbus A310-222,Nigeria Airways,,1,"Niamey Airport (NIM) - 
	   Niger",En route,Passenger - Scheduled,Lagos-Murtala Muhammed International Airport (LOS/DNMM),Abuja International Airport (ABV/DNAA),"Four men demanding democracy in Nigeria hijacked the A310 after takeoff from Lagos (LOS). The pilot tried to land in N'djamena, Chad, for refueling but was denied permission and diverted to Niamey. The hijackers demanded that Nigeria's government resign and enough fuel to fly to Frankfurt.  On October 28, with 20 hostages still being held, Niger army commandos stormed the aircraft. The four hijackers were captured but one of the hostages, the Assistant Purser, was killed in the operation."
Wednesday 14 February 1990,13:03,Airbus A320-231,Indian Airlines,370,92,"0,7 km W of Bangalore-Hindustan Airport (BLR) - 
	   India",Approach,Passenger - Scheduled,Mumbai (Bombay) Airport (BOM/VABB),Bangalore-Hindustan Airport (BLR/VOBG),"Indian Airlines Flight 605 took off from Mumbai, India, at 11:58 for a domestic flight to Bangalore. At 12:25 Bangalore approach was contacted and prevailing weather was passed on to the crew (wind variable 5 knots, visibility 10 km, clouds 2 octa 2000 feet, temperature 27 degrees C, QNH 1018). At 12:44 the aircraft was cleared to descend to FL110. Reaching FL110, vectors were given for a visual runway 09 approach. On final approach, the aircraft descended well below the normal approach profile and kept descending until it struck the boundaries of the Karnataka Golf Club (2300 feet short of the runway and 200 feet right of the extended centerline. The aircraft rolled for 80 feet and lifted off again for about 230 feet and came down again on the 17th green of the golf course. The landing gear wheels dug into the ground and the aircraft impacted a 12 feet high embankment, causing the gears and engines to be sheared off. The aircraft continued over the embankment and came to rest in a grassy, marshy and rocky area.  PROBABLE CAUSE: ""Failure of the pilots to realize the gravity of the situation and respond immediately towards proper action of moving the throttles, even after the radio altitude call-outs of ""Four hundred"", ""Three hundred"" and ""Two hundred"" feet, in spite of knowing that the plane was in idle/open descent mode. However, identification of the cause for the engagement of idle/open descent mode in short final approach during the crucial period of the flight is not possible."""
Wednesday 18 June 2008,,Airbus A321-211,Air India,,1,"Budapest Ferihegy - 
	   Hungary",En route,Ferry/positioning,XFW,DEL,"This brand new A321 was on delivery flight en route XFW-SHJ-DEL. Flight diverted to BUD from the Romanian airspace, due to incapacitation of one crew member. Sadly, the off duty first officer died, he possibly  suffered a heart attack."
Sunday 16 October 2005,10:50,Airbus A330-243,SriLankan Airlines,,1,"Colombo-Bandaranaike International Airport (CMB/VCBI) - 
	   Sri Lanka",Standing,Passenger - Scheduled,Kuala Lumpur International Airport (KUL/WMKK),Colombo-Bandaranaike International Airport (CMB/VCBI),"During the disembarkation of passengers after a flight from Kuala Lumpur, Malaysia a ground vehicle which was approaching the aircraft for maintenance collided with the stepladder which some passengers were using to disembark the aircraft. When the vehicle collided with the stepladder it shifted away from the aircraft causing one passenger to fall several feet onto the ground who later succumbed to injuries. A few more passengers who were on the stepladder were also injured due to this accident."
Thursday 25 May 2000,,Airbus A330-301,Philippine Air Lines,,1,"near Manila - 
	   Philippines",En route,Passenger - Scheduled,Davao City-Francisco Bangoy International Airport (DVO/RPMD),Manila-Ninoy Aquino International Airport (MNL/RPLL),"Philippine Airlines flight 812, an Airbus A330 aircraft with 284 passengers and 14 crew members, was hijacked during a domestic flight. The plane was en route from Davao International Airport to Manilas Ninoy Aquino International Airport. Approximately one hour into the flight, a passenger got out of his seat and went into one of the aircrafts restrooms. He emerged armed with a .22 caliber handgun and what was later determined to be a fake hand grenade. While on his way to the cockpit, the passenger encountered a flight attendant, pulled out the handgun, and said that he was hijacking the plane. He subsequently fired a single shot toward the cockpit door, although it is believed this was done accidentally. The hijacker then ordered the flight attendant to ask the pilot to open the door. Once inside the cockpit, the man threatened to blow up the aircraft if his demands were not met. The hijacker insisted that the plane return to Davao but was told that there was not enough fuel. The man then collected money from the passengers and crew and demanded that the rear door be opened so that he could jump out using a homemade parachute. After the cabin was depressurized, a flight attendant opened the left rear door and the hijacker jumped out. The crew continued the flight on to Manila, where the plane landed safely. There were no injuries to the passengers or crew members. The hijacker was killed in his jump from an altitude of 6,000 feet because the parachute apparently malfunctioned. His body was discovered embedded in the ground about 15 kilometers east of Manila; the parachute was found about a kilometer from the body."
Saturday 6 December 1997,14:42,Antonov An-124-100,Russian Air Force,1034,23,"1,6 km SE of Irkutsk-2 Airport - 
	   Russia",Initial climb,Military,Irkutsk-2 Airport (UIIR),Vladivostok Airport (VVO/UHWW),"An Antonov 124-100 transport plane was destroyed when it crashed immediately after takeoff from Irkutsk-2 Airport, Russia. The airplane struck houses in a residential area, killing all 23 on board and 45 persons on the ground. The An-124 was leased from the Russian Air Force by Cargotrans to transport two Sukhoi Su-27 fighter planes to Vietnam. The planned destination was Cam Ranh Bay, Vietnam with an en route stop at Vladivostok Airport (VVO), Russia. Three seconds after lifting off runway 14, at a height of about 5 m the number 3 engine surged. Climbing away with a high angle of attack engines no. 2 and 1 also surged. The airplane reached a maximum height of 66 m before it descended, striking several buildings. It crashed into a residential area, 1600 m beyond the runway end."
Saturday 5 March 2011,10:40,Antonov An-148-100E,Voronezh Aircraft Production Association - VASO,,6,"Garbuzovo, Belgorod region - 
	   Russia",En route,Test,Voronezh-Pridacha Airport (UUOD),Voronezh-Pridacha Airport (UUOD),"An Antonov 148-100E jet, registered 61708, was destroyed in an accident near Garbuzovo, Belgorod Region, Russia, killing all six crew members. The airplane, operating on its 32nd flight, was used to train pilots of the Myanmar Air Force. The AN-148 was due to be delivered to Myanmar later that year.  Around 10:40 the aircraft broke up in flight. Parts of the aircraft, including part of the horizontal stabilizer with elevator, were found 2-3 km from the main crash site.  The cause of the accident was the inadvertently permitted the aircraft to accelerate 110 km/h above the design limit speed during an emergency descent. This led to low-frequency vibrations on the aircraft in all axes, an increase of alternating accelerations exceeding the margin of safety. The result was the break  up of the aircraft in the air, followed by its collision with the earth. The main factors contributing to the accident were:  1) untimely and inadequate actions of the crew to control the emergency decent;  2) lack of proper coordination among the members of the crew;  3) deviations from recommendations in the flight manual in executing the emergency descent ;  4) misleading indications on basic instruments when outside characteristic operating conditions"
Thursday 10 October 2019,14:30,Antonov An-72,Air Force of the Democratic Republic of the Congo,,8,"near Kole - 
	   Congo (Democratic Republic)",En route,Military,Goma Airport (GOM/FZNA),Kinshasa-N'Djili Airport (FIH/FZAA),"An Antonov An-72 transport plane operating for the Air Force of the Democratic Republic of the Congo was reported missing on a flight from Goma to Kinshasa. The aircraft operated on a presidential logistics support flight and departed Goma at 13:32 UTC (15:32 local time). The estimated time of arrival at Kinshasa was 16:43 UTC (17:43 local time). Last contact with the flight was at 59 minutes after takeoff from Goma. The next day the wreckage was located in a forest near Punia.  The aircraft used to be owned by the Armenian airline South Airlines, registered EK-72903. However, EK-72903, is no longer on the Armenian aircraft register and South Airlines does not seem to have an Air Operator Certificate (AOC) in Armenia."
